264183816548130816	15140428	positive	Gas by my house hit $3.39!!!! I'm going to Chapel Hill on Sat. :)
264249301910310912	18516728	negative	Iranian general says Israel's Iron Dome can't deal with their missiles (keep talking like that and we may end up finding out)
264105751826538497	147088367	positive	with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
264094586689953794	332474633	negative	Talking about ACT's && SAT's, deciding where I want to go to college, applying to colleges and everything about college stresses me out.
254941790757601280	557103111	negative	They may have a SuperBowl in Dallas, but Dallas ain't winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
264169034155696130	382403760	neutral	Im bringing the monster load of candy tomorrow, I just hope it doesn't get all squiched
263192091700654080	344222239	neutral	Apple software, retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://bit.ly/XQEhJU 
260200142420992000	332530284	neutral	#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://bit.ly/WY4Vjy  #LiveWireAthletics
263304719471087617	564843841	neutral	#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran, Oct 30, IRNA -- Secretary... http://bit.ly/XSTGtd 
263975113404342273	616166780	neutral	Expect light-moderate rains over E. Visayas; Cebu, Bohol, Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)
257343699460173824	10115042	positive	One ticket left for the @49ers game tomorrow! Don't miss the rematch of the NFC Championship game against the NY Giants! Hit me up!
257239661976625152	64642600	neutral	Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SF's gonna be cuuuuhraaaaaaaazeeeee
264041764460036096	198706982	positive	Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U, ACT NOW! #getafterit
264239636799430656	864992245	neutral	BLACK FRIDAY Huge Saving Aerial View of a City, Paris Las Vegas, the Las Vegas Strip, Las Vegas,... http://prlasvegas.outdoorkitchennarm.com/black-friday-huge-saving-aerial-view-of-a-city-paris-las-vegas-the-las-vegas-strip-las-vegas-nevada-usa-photographic-poster-print-by-panoramic-images-36x12/ …
236665189502681089	551910244	neutral	Mohamed Morsi, Egypt's Muslim Brotherhood president, instructed the Supreme Council of the Armed Forces Thursday... http://fb.me/1AIvanLJZ 
262384414623936512	17091853	neutral	C'mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers
249228128302551040	160639448	neutral	At the first Grammy Awards, held on 4 May 1959, Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Year,with Volare
263970913270251520	15794878	positive	Good morning Thursday. "Life is fragile. We're not guaranteed a tomorrow so give it everything you've got." - Tim Cook [Do it for Jobs!]
264162997088436224	93655075	positive	#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://twitition.com/p9clo 
263800856321859584	49032667	negative	My teachers call themselves givng us candy....wasn't even the GOOD stuff. I might go to Walmart or CVS tomorrow/
264011728084410369	24144230	neutral	#Broncos Peyton Manning named AFC Offensive Player of the month. It's his 5th such honor, second to Tom Brady's 6, tied w/ TD.
264120483384008704	533302080	neutral	@TooZany is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now!
264056733691961345	23939440	neutral	Andre's Wigan Warning - #COYS Official Site Wigan might currently occupy 15th place in the Premier League,... http://tmblr.co/ZiAjGyWOM57G 
263656013541027840	913170146	neutral	How are they going to act in new york with the subways out? They better clutch it out like Eli Manning 4th quarter
165044172858986496	160465887	negative	Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday, the video scoreboard ... http://bit.ly/ztNRG0  #Raleigh
264230416897159168	142476472	positive	taylor swift is coming with ed sheeran june 29th? most perf news i've heard all night.
263809311086628864	175523498	positive	The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we're 4th row center. Plenty of room. Pretty fired up
229553993750282240	75542870	positive	Happy Sunday last off Sadat before back to work enjoy it tweeps now to do yard work for a couple hours then some fun
264253780797825026	201148169	neutral	Playing as the Browns HC K. Fri in #Madden13, XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers
256237809147445248	478075690	neutral	The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry
264198711113039872	113783053	positive	@grandvincenzo on November 16 be ready to head to the movies. Breaking Dawn: Part 2. (;
263281866856087552	53443641	positive	Tomorrow shall consist of watching Will Ferrell films with my fave people and Chinese food, sweet.
264215390773727232	276151090	neutral	Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes.
245461530206932992	222961982	positive	I think I may have a heart attack for Jason Wu's new collection. So Charlotte Rampling in the Night http://pinterest.com/pin/68891069271126578/ …
263391524769898496	615354091	neutral	If I can get my equipment working correctly we will have a live show on Friday at 6 pm CST with contactee Ray... http://fb.me/1NKnb6ZhU 
260248287255343104	407729607	positive	Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo! Don't miss tomorrow night... http://fb.me/25EQZW3B0 
256416307182985217	47208627	positive	Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to...http://bit.ly/Q1z5MC 
